Sample Number	Data
107	"Humidity: 60.10 %, Temp: 28.30 Celsius"
108	"Humidity: 60.10 %, Temp: 28.30 Celsius"
109	"Humidity: 60.20 %, Temp: 28.30 Celsius"
110	"Humidity: 60.20 %, Temp: 28.30 Celsius"
111	"Humidity: 60.20 %, Temp: 28.30 Celsius"
112	"Humidity: 60.30 %, Temp: 28.30 Celsius"
113	"Humidity: 60.20 %, Temp: 28.20 Celsius"
114	"Humidity: 60.10 %, Temp: 28.20 Celsius"
115	"Humidity: 60.10 %, Temp: 28.20 Celsius"
116	"Humidity: 60.10 %, Temp: 28.20 Celsius"
117	"Humidity: 60.10 %, Temp: 28.20 Celsius"
118	"Humidity: 60.20 %, Temp: 28.20 Celsius"
119	"Humidity: 60.20 %, Temp: 28.20 Celsius"
120	"Humidity: 60.20 %, Temp: 28.20 Celsius"
121	"Humidity: 60.20 %, Temp: 28.20 Celsius"
122	"Humidity: 60.30 %, Temp: 28.20 Celsius"
123	"Humidity: 60.20 %, Temp: 28.10 Celsius"
124	"Humidity: 60.30 %, Temp: 28.20 Celsius"
125	"Humidity: 60.30 %, Temp: 28.10 Celsius"
126	"Humidity: 60.30 %, Temp: 28.10 Celsius"
127	"Humidity: 60.30 %, Temp: 28.10 Celsius"
128	"Humidity: 60.30 %, Temp: 28.10 Celsius"
129	"Humidity: 60.50 %, Temp: 28.10 Celsius"
130	"Humidity: 60.50 %, Temp: 28.10 Celsius"
131	"Humidity: 60.50 %, Temp: 28.10 Celsius"
132	"Humidity: 60.50 %, Temp: 28.10 Celsius"
133	"Humidity: 60.60 %, Temp: 28.10 Celsius"
134	"Humidity: 60.60 %, Temp: 28.10 Celsius"
135	"Humidity: 60.60 %, Temp: 28.10 Celsius"
136	"Humidity: 60.70 %, Temp: 28.10 Celsius"
137	"Humidity: nan %, Temp: nan Celsius"
138	"Humidity: 88.20 %, Temp: 28.10 Celsius"
139	"Humidity: 92.20 %, Temp: 28.20 Celsius"
140	"Humidity: 94.40 %, Temp: 28.30 Celsius"
141	"Humidity: 95.90 %, Temp: 28.40 Celsius"
142	"Humidity: 96.60 %, Temp: 28.50 Celsius"
143	"Humidity: 92.60 %, Temp: 28.60 Celsius"
144	"Humidity: 82.00 %, Temp: 28.70 Celsius"
145	"Humidity: 75.90 %, Temp: 28.80 Celsius"
146	"Humidity: 71.80 %, Temp: 28.90 Celsius"
147	"Humidity: 68.80 %, Temp: 28.90 Celsius"
148	"Humidity: 67.10 %, Temp: 29.00 Celsius"
149	"Humidity: 65.00 %, Temp: 29.00 Celsius"
150	"Humidity: 63.50 %, Temp: 29.00 Celsius"
151	"Humidity: 62.70 %, Temp: 29.00 Celsius"
152	"Humidity: 62.00 %, Temp: 29.00 Celsius"
153	"Humidity: 61.60 %, Temp: 29.10 Celsius"
154	"Humidity: 60.90 %, Temp: 29.00 Celsius"
155	"Humidity: 60.70 %, Temp: 29.00 Celsius"
