Sample Number	Status
506	Inactive
507	Inactive
508	Inactive
509	Inactive
510	Inactive
511	Inactive
512	Inactive
513	Inactive
514	Inactive
515	Inactive
516	Inactive
517	Inactive
518	Inactive
519	Inactive
520	Inactive
521	Inactive
522	Inactive
523	Inactive
524	Inactive
525	Inactive
526	Inactive
527	Inactive
528	Inactive
529	Inactive
530	Inactive
531	Inactive
532	Inactive
533	Inactive
534	Inactive
535	Inactive
536	Inactive
537	Inactive
538	Inactive
539	Inactive
540	Inactive
541	Inactive
542	Inactive
543	Inactive
544	Inactive
545	Inactive
546	Inactive
547	Inactive
548	Inactive
549	Inactive
550	Inactive
551	Inactive
552	Active
553	Active
554	Active
555	Active
556	Active
557	Active
558	Active
559	Active
560	Inactive
561	Inactive
562	Inactive
563	Inactive
564	Inactive
565	Inactive
566	Inactive
567	Inactive
